experience,test_score(out of 10),interview_score(out of 10),salary
zero,9.6,8,54086
ten,5.6,7,53390
five,5.8,10,49061
ten,5.4,9,67907
six,8.8,6,58764
ten,,6,41606
nine,7.4,9,75968
one,6.1,6,65215
zero,9.0,8,51318
two,6.2,8,70324
ten,5.7,6,52986
two,7.6,9,59761
five,6.3,5,52241
five,8.5,8,47036
zero,6.5,8,63775
nine,,7,78320
zero,8.4,8,50099
ten,8.9,10,53486
three,6.6,8,73216
two,8.3,7,41380
eight,8.1,6,75817
four,7.7,7,64762
two,5.6,8,72110
one,,5,54353
seven,9.0,5,45782
four,,5,71953
four,9.8,8,49742
five,7.4,9,67808
nine,5.0,6,45451
zero,5.4,10,79604
two,6.5,10,61304
six,8.9,7,70990
nine,9.2,5,61809
one,,10,62306
zero,9.1,5,44968
seven,,10,69208
ten,6.5,5,66201
four,,6,51420
seven,7.0,5,47075
six,8.2,7,68126
five,9.5,5,79427
three,7.1,5,53060
zero,9.1,7,43129
eight,9.7,6,53370
one,7.5,10,62422
one,9.7,5,58578
seven,8.5,10,44232
five,5.7,9,40571
two,6.8,6,44556
one,,8,55735
